,hyponym,hypernym,proposed_label
7166,non dod system,otherwise applicable surveillance system,1.0
7167,the department,individual dmhr team member psychological health in accordance with recognize national practice guideline,0.0
7168,pharmaceutical,resource,2.0
7169,ventilator,resource,2.0
7170,hospital bed,resource,2.0
7171,ethical issue,a discussion of health emergency 46 planning challenge,0.0
7172,natural and manmade disaster,caaf during deployment period,0.0
7173,deployment,the implementation of this issuance during all military operation,0.0
7174,contingency,the implementation of this issuance during all military operation,0.0
7175,exercise,the implementation of this issuance during all military operation,0.0
7176,training,the implementation of this issuance during all military operation,0.0
7177,all tier of subcontractor personnel,contractor personnel,0.0
7178,who,contractor personnel,0.0
7180,the development,this program,0.0
7181,screening,recommendation,0.0
7182,counseling service,recommendation,0.0
7183,preventive medication,recommendation,0.0
7184,any and all information,procedure,0.0
7185,the opportunity,adequate informed consent,0.0
7186,the function of the military vaccine agency,the cancellation of the secretary of the army as the dod executive agent for the dod immunization program,0.0
7187,applicable dod civilian personnel,guideline for the dod components,0.0
7188,eligible health care beneficiary,guideline for the dod components,0.0
7189,suspect immunization associate adverse event,the primary medical consultation resource for clinical immunization healthcare issue,0.0
7190,fatality,the primary medical consultation resource for clinical immunization healthcare issue,0.0
7191,quantity,historical dod vaccine usage datum,0.0
7192,logistical support,resource,2.0
7193,the personal and collective e,use of immunization for disease prevention,0.0
7194,emergency essential and combat essential u,this category,0.0
7195,u,this category,0.0
7196,non u,this category,0.0
7197,ally or coalition military force,the secretary of defense,0.0
7198,government official,the secretary of defense,0.0
7199,emergency response personnel,the secretary of defense,0.0
7201,u,designated active and reserve component military personnel,0.0
7202,immunization,this program,0.0
7203,disease surveillance,clinical service,0.0
7204,vaccine supply monitoring,clinical service,2.0
7205,pre immunization education,clinical service,2.0
7206,screening,clinical service,2.0
7207,clinical administration of immunization,clinical service,2.0
7208,post immunization follow up,clinical service,2.0
7209,body substance,infectious material,2.0
7210,contaminate medical supply,infectious material,2.0
7211,equipment,infectious material,0.0
7212,contaminate environmental surface,infectious material,2.0
7213,contaminate air,infectious material,2.0
7214,both person,hcp,0.0
7215,who,hcp,0.0
7216,the function of the military vaccine agency,the cancellation of the secretary of the army as the dod executive agent for the dod immunization program,0.0
7217,the function of the military vaccine agency,the cancellation of the secretary of the army as the dod executive agent for the dod immunization program,0.0
7218,applicable dod civilian personnel,guideline for the dod components,0.0
7219,eligible health care beneficiary,guideline for the dod components,0.0
7220,suspect immunization associate adverse event,the primary medical consultation resource for clinical immunization healthcare issue,0.0
7221,fatality,the primary medical consultation resource for clinical immunization healthcare issue,0.0
7222,quantity of vaccine,historical dod vaccine usage datum,0.0
7223,education,clinical standard for the quality delivery of immunization,0.0
7224,training of individual,clinical standard for the quality delivery of immunization,0.0
7225,logistical support,resource,2.0
7226,logistical support through the planning,resource,2.0
7227,programming,resource,2.0
7228,budgeting,resource,2.0
7229,execution process for immunization,resource,0.0
7230,associated family member,dod civilian and contractor support employee,2.0
7231,usg agency employee,dod civilian and contractor support employee,2.0
7232,education,quality of care for the delivery of immunization,0.0
7233,training of personnel,quality of care for the delivery of immunization,0.0
7234,the personal and collective e,use of immunization for disease prevention,0.0
7235,emergency essential and combat essential u,this category,0.0
7236,u,this category,0.0
7237,non u,this category,0.0
7238,ally or coalition military force,the secretary of defense,0.0
7239,government official,the secretary of defense,0.0
7240,emergency response personnel,the secretary of defense,0.0
7241,host nation and third country personnel,this category,0.0
7242,the united states,this category,0.0
7243,the national guard,designated active and reserve component military personnel,2.0
7244,u,designated active and reserve component military personnel,0.0
7245,immunization,this program,0.0
7246,disease surveillance,clinical service,0.0
7247,vaccine supply monitoring,clinical service,2.0
7248,pre immunization education,clinical service,2.0
7249,screening,clinical service,2.0
7250,clinical administration of immunization,clinical service,2.0
7251,post immunization follow up,clinical service,2.0
7252,patient safety surveillance for effectiveness,clinical service,2.0
7253,patient advocacy,clinical service,2.0
7254,care,clinical service,0.0
7255,body substance,infectious material,2.0
7256,contaminate medical supply,infectious material,2.0
7257,equipment,infectious material,0.0
7258,contaminate environmental surface,infectious material,2.0
7259,contaminate air,infectious material,2.0
7260,both person,hcp,0.0
7261,who,hcp,0.0
7262,deploy location,dod,0.0
7263,a broad category of sexual offense,the term,0.0
7264,a medical,the safe,0.0
7265,dodi,fap guidance,0.0
7266,the facat,a comprehensive dod response,0.0
7267,child development center,example,0.0
7268,dod dependent school,example,0.0
7269,penetration,intrusive sexual behavior,2.0
7270,a case,circumstance,0.0
7271,child development centers,example,0.0
7272,a child development center,example,0.0
7273,school,example,2.0
7275,family child care,example,0.0
7276,child care activity,example,0.0
7277,dod directives,regulation,0.0
7278,instructions,regulation,0.0
7279,need for interpreter or translation service,the need of a culturally diverse population,0.0
7280,both and ongoing information,service,0.0
7281,referral assistance,service,2.0
7282,location,a cpo,0.0
7283,a nonappropriated fund employee,a civilian employee,2.0
7284,whom,a civilian employee,2.0
7285,weapon,evidentiary article,2.0
7286,photographic evidence,place,0.0
7287,victim,victim,0.0
7288,who,victim,0.0
7289,fap clinical case consultation meeting,meeting,0.0
7290,mou,procedure,0.0
7291,victim service contract,procedure,0.0
7292,law enforcement,military first responder,0.0
7293,fap,service,2.0
7294,current and incident of abuse,relevant history,0.0
7295,their effect on the patient,relevant history,0.0
7296,health,relevant history,0.0
7297,fap,basic referral to appropriate service,0.0
7298,victim advocacy service,basic referral to appropriate service,0.0
7299,criminal and family court judge,numerous civilian community agency,2.0
7300,court probation official,numerous civilian community agency,2.0
7301,victim witness liaison,numerous civilian community agency,2.0
7302,domestic abuse treatment provider,numerous civilian community agency,0.0
7303,child protective service agency,numerous civilian community agency,0.0
7304,batter womens shelter,numerous civilian community agency,2.0
7305,treatment,this support,0.0
7306,any injunction,a cpo,0.0
7307,order,a cpo,0.0
7308,any temporary or final order,another person,0.0
7310,both criminal action,the term,0.0
7311,civilian,military medical treatment,0.0
7312,contractor,military medical treatment,1.0
7313,who,military medical treatment,0.0
7314,medical record,information,0.0
7315,child abuse,victim of serious violent crime,0.0
7316,domestic violence,victim of serious violent crime,2.0
7317,sexual misconduct,victim of serious violent crime,0.0
7318,education,qualification requirement,1.0
7319,training,qualification requirement,0.0
7320,relevant experience,qualification requirement,1.0
7321,part time,they,0.0
7322,full time,they,0.0
7323,collateral duty,they,0.0
7324,social medium platform,the medium,0.0
7325,chaplain,gatekeeper,0.0
7326,front line supervisor,gatekeeper,2.0
7327,legal personnel,gatekeeper,0.0
7328,chaplain,availability of non medical counseling service,0.0
7329,military family life counselor,availability of non medical counseling service,0.0
7330,temporary domestic abuse protective order,some applicable state law,0.0
7331,dod,regulation,0.0
7332,5400,regulation,2.0
7333,decrease incidence,behavior change,2.0
7334,leader,influencers,2.0
7335,who,influencers,0.0
7336,sexual assault,behavior,2.0
7337,harassment,behavior,2.0
7338,retaliation,behavior,2.0
7339,foreign medical capability,issue,0.0
7340,infectious disease,issue,0.0
7341,environmental health risk,issue,0.0
7342,development in biotechnology,issue,0.0
7343,biomedical subject of national and military importance,issue,0.0
7344,support,issue,0.0
