,hyponym,hypernym
3839,the addition,accuracy
3840,the Combatant Commanders joint plan,Review relevant document
3841,labor,direct cost
3842,compensation table,federal benefit
3843,dco,liaison personnel
3844,model,force materiel
3845,MDEH,material
3846,the main funeral procession,NCR JOA
3847,change,personnel
3848,the software,the equipment
3849,military law enforcement,work
3850,screening,recommendation
3851,liability,legal liability
3852,a lack,factor
3853,a Defense Energy Support Center representative,or hazardous substance spill
3854,training,security cooperation activity
3855,implementation,function
3856,Intelligence Community policy,various authority
3857,fuel type,specific fuel delivery information
3858,silver,household good
3859,holiday,worker
3860,good,fund
3861,nuclear command,critical enabler
3862,government credit card,purchasing tool
3863,the Federal Vacancies Reform Act,America
3864,case study,reference material
3865,assistance,operational problem
3866,the rationale,select remedy
3867,strategic capability alternative,experimentation activity
3868,base realignment,and installation
3869,national emergency,increase vulnerability
3870,the scope,property
3871,datum interoperability,logistic data management
3872,provision,Federal personnel
3873,the National Guard,all DoD tenant organization
3874,asset,7D
3875,action,process
3876,control technology,DoD possession
3877,system,instructional management system
3878,usage,the MRTFB
3879,professional journal,private and public medium
3880,the transmission,function
3881,retail supply,level
3882,integrate product team,activity
3883,human resource,common support service
3884,assignment,military personnel
3885,anonymous allegation,harassment allegation
3886,the number,the CBJB
3887,communication support,federal entity
3888,a baseline set,base approach
3889,suicidal ideation,Suicidality
3890,representation,PPBE process
3891,purpose,an assign mission
3892,oversight,the Regional Centers
3893,finding,package alcoholic beverage
3894,management,capability
3895,armed attack,a single incident
3896,correspondence,all write information
3897,major contract,business strategy
3898,video,material
3899,constituent type,the cost estimate
3900,company,material
3901,tolerance,critical feature
3902,boundary protection,DODIN
3903,statute,broad authority
3904,development,resource materiel
3905,dedicated truck route,multiple air and surface mode
3906,augmentation contract,pest management contract
3907,vulnerability,the system life cycle
3908,graphic,datum
3909,operation,service
3910,dinner,social event
3911,final semester residency,study
3912,dla,DLA
3913,information sharing,DITMAC activity
3914,an assignment,a prisoner
3915,linear bar code,or carrier technology
3916,the commander,time
3917,the standard,all ethic provision
3918,a consultant,critical sensitive position
3919,buyer,a NAF procurement office
3920,high school diploma graduate,high priority
3921,DoD policy,DoD policy
3922,supply,installation
3923,the right,the UCMJ
3924,proficiency standard,model
3925,meal,diem
3926,table linen,household good
3927,spanking,slapping
3928,the Advisory Council,external stakeholder
3929,metal,work function
3930,smoke,application
3931,designate clerk,the facility
3932,private business entity,dod research institution
3933,CCMD oplan,mef
3934,record example,additional information
3935,cook grease,dining facility
3936,mathematician,researcher
3937,fire,the lease
3938,driver,factor
3939,Army,the SAPR Program
3940,video,telecommunication product
3941,protection,CFR
3942,model,service
3943,special act,effort
3944,dietary guideline,nourishment
3945,resource,address climate change impact
3946,the assessment,contract audit report
3947,logistic,activity
3948,vehicle,85 dba
3949,travel order,document
3950,entertainment video,stress relief
3951,vessel,installation
3952,any person,fund
3953,cost reduction,efficiency improvement
3954,applicable legal issue,fundamental
3955,President,formal position
3956,the number,unaccompanied personnel
3957,the development,special need
3958,referral,policy
3959,domestic emergency,law enforcement activity
3960,usher,capacity
3961,wireless,the ICT infrastructure
3962,blood,an infectious agent
3963,the standard synopsis and witness statement matrix,an initial award
3964,eligibility,matter
3965,Munitions,MPPEH
3966,platform,weapon system
3967,boat,vehicle sale
3968,an assessment,program
3969,active duty Service personnel,commercial fuel availability
3970,confidential source,the United States
3971,threat,threat
3972,guidance,DSCIR operation
3973,JR,designation
3974,comment,official purpose
3975,the cost effective application,program
3976,peacetime operate stock,product
3977,uas,the air
3978,the design,issue
3979,environmental protection,relate technical area
3980,FS,pay plan
3981,use,ceta
3982,force entry,illegal act
3983,disruption,challenge
3984,system,training aspect
3985,certificate,the DoD ECA program
3986,the use,test and evaluation plan
3987,religion,the unit
3988,bilateral or multilateral status,place
3989,contracting,spp
3990,mission rehearsal,Training
3991,biopsy needle,Sharps
3992,improper endorsement,official position
3993,fire,disaster
3994,administrative support,federal entity
3995,lease space,Defense
3996,guidance,DDESB issuance
3997,operating instruction,documentation
3998,historic ship,all historic property
3999,family quarter,duty
4000,maintenance,NLW human effect
4001,solid waste,a minimum
4002,an external monitor port,provision
4003,rail car,delivery mode
4004,cataloging,related service
4005,a nonappropriate fund employee,a civilian employee
4006,baseline,the function check
4007,the condenser,cool water system
4008,the establishment,sexual assault
4009,tps,DDESB issuance
4010,point,the routing
4011,transfer,mean
4012,access,a current national security eligibility
4013,fund,related information resource
4014,education,the prisoner
4015,national and international sporting,special event
4016,hospital food service program,all Departments military food service program
4017,use,IA procedure
4018,physical participant,security protection
4019,truancy,serious or repeated misbehavior
4020,protocol,unexplained worker absence
4021,a chemical,small amount
4022,website,online communication capability
4023,bromine,a halogen
4024,respite,an hourly basis
4025,the nature,factor
4026,question cost,government
4027,recommend response,management report
4028,drawing,resource
4029,information,program
4030,equipment,thing
4031,satellite,information sensor
4032,carrier,component
4033,security,capability
4034,testing,the rc
4035,it and cybersecurity infrastructure,the DoD
4036,member,the Armed Forces
4037,amphibian,pesticide
4038,water,utility distribution system
4039,medical readiness requirement,DoD medical program
4040,combat,principle
4041,the National Guard,a state military department
4042,the Central Intelligence,agency
4043,DoD,government
4044,security assistance program,DoD security cooperation
4045,the time,an OCONUS customer
4046,a department or agency sponsorship letter,credential
4047,potential,the material
4048,the President,duty
4049,a medical device,a drug
4050,all relate item,fuel item
4051,functional assistance,FCM program management
4052,data set,research finding
4053,accountability,this issuance
4054,navigation,operation
4055,a complete,a Service member IDES case file
4056,utility,support service
4057,security and antiterrorism measure,or area
4058,acquisition,protection
4059,adjudication,agreement
4060,specific executive decision memorandum,agreement
4061,critical infrastructure protection,DSCA activity
4062,security review,Security Information
4063,the authorization inventory,the DoD
4064,public repose,interment JOA
